Harvard 	.6510
Jacksonville St. 	.4009
Weber St. 	.6811
St. Francis PA 	.1091
Central Arkansas 	.1754
Wofford 	.2764
Morgan St. 	.4015
Xavier 	.7273
Lipscomb 	.1686
Tennessee Tech 	.2305
Louisiana Lafayette 	.3360
Kansas 	.9415
Penn St. 	.5404
Mississippi 	.8485
Illinois 	.8403
Oral Roberts 	.4787
Wisconsin 	.9406
Washington 	.7164
Samford 	.2101
Elon 	.3912
North Carolina St. 	.8601
Texas A&M 	.6678
South Carolina Upstate 	.3974
Binghamton 	.0559
Navy 	.1378
South Florida 	.5425
Seton Hall 	.6355
Alcorn St. 	.1045
Duquesne 	.2980
Holy Cross 	.3148
Southeast Missouri St. 	.3624
Stanford 	.8301
UC Davis 	.3793
Colorado 	.8273
New Hampshire 	.2323
Iona 	.6728
Louisiana St. 	.6830
Arizona St. 	.7312
Denver 	.8554
Cal St. Fullerton 	.3993
Prairie View A&M 	.1001
Arkansas Little Rock 	.3390
Columbia 	.4167
Utah 	.6211
Mount St. Mary's 	.3902
Hofstra 	.1723
Maine 	.2706
Gardner Webb 	.4471
SIU Edwardsville 	.1654
Georgia Southern 	.2145
Texas San Antonio 	.3013
Norfolk St. 	.3510
Drake 	.6029
UCLA 	.8346
Central Connecticut 	.2653
Middle Tennessee 	.8673
Connecticut 	.8139
Old Dominion 	.2522
Tulane 	.5345
Long Beach St. 	.5417
Texas Tech 	.2936
Stephen F. Austin 	.7438
Kent St. 	.6381
Eastern Kentucky 	.6264
Bowling Green 	.4002
Chattanooga 	.1751
Northern Kentucky 	.2860
Florida International 	.4554
Houston 	.4653
Auburn 	.4259
Florida Gulf Coast 	.5944
North Carolina 	.8787
Wisconsin Milwaukee 	.1796
Dartmouth 	.2471
Northern Colorado 	.2997
St. Francis NY 	.3493
South Dakota St. 	.6685
Bryant 	.4511
Rutgers 	.6603
St. Peter's 	.2129
Central Florida 	.5672
Oakland 	.3964
East Tennessee St. 	.1196
Nebraska Omaha 	.1338
Coastal Carolina 	.3355
Canisius 	.6080
Indiana St. 	.6567
Murray St. 	.5625
Virginia Military Inst 	.2048
Pennsylvania 	.2995
Brigham Young 	.7601
Long Island 	.4537
Eastern Washington 	.1896
Central Michigan 	.3132
Minnesota 	.8856
Vanderbilt 	.7098
New Mexico St. 	.7250
Sam Houston St. 	.3337
UC Santa Barbara 	.3854
Montana 	.5490
Monmouth 	.1524
Texas St. 	.3254
Cincinnati 	.8458
Cal Poly 	.5753
